Factory 501,1,830,1280,1730,3030,4270,5730,8940,14900,22660
Port Naori,1,910,1360,2120,3430,4570,6680,10010,16490,24960
Okki Island,570,570,1040,1490,2440,3640,4960,7450,11740,18590
Saiban Archipelago,690,690,1190,1640,2820,4010,5340,8220,13040,20980
Kyris,1020,1020,1510,2460,3660,4980,7470,11760,18610,27800
Ardos Monastery,1130,1130,1630,2760,3970,5330,8240,13020,20930,30590
Darnic Village,1270,1270,1770,3070,4310,5740,8960,14920,22710,32990
Lanber Catacombs,1610,1610,2780,3990,5350,8230,13030,20950,30600,42050
Thais Temple,2080,2080,3390,4530,6640,9970,16450,24930,36090,48090
Facility 902,3950,3950,5370,8250,13050,20970,30620,42090,57600,78450
Thetin Rift,4240,4240,5780,9010,14980,22720,33190,45450,63050,86780
Cronnel Platforms,4940,4940,7490,11780,18620,27850,39240,53410,73640,97520
Ignum Monastery,5310,5310,8210,13060,21000,30660,42210,57750,78660,104100
Syblian Heights,5690,5690,9000,14970,22680,33170,45410,62990,86640,109880
Tau Experimental Station,8180,8180,13070,21010,30680,42250,57800,78730,104180,0
Alakur Island,9970,9970,16530,24990,36150,48240,68420,91660,119390,0
Thandi Drilling Station,10970,10970,16510,24980,36120,48190,68360,91590,119300,0
Aristel's Farm,11720,11720,18640,27890,39320,53540,73760,110150,0,0
Icy Winds Canyon,14890,14890,22780,33110,45290,62810,86990,119570,0,0
Taron Power Station,16450,16450,25000,36190,48340,68540,91730,0,0,0
Avesten Tower,18600,18600,27830,39120,53260,73460,97280,0,0,0
Port Usuni,18650,18650,27870,39280,53460,73700,97600,0,0,0
Thorneus's Camp,20990,20990,30640,42170,57700,78560,104020,0,0,0
Artonis Hollow,22670,22670,33130,45330,62870,87060,110240,0,0,0
Palon Prototype Plant,23850,23850,33150,45370,62930,87130,0,0,0
Fort Krigg,24950,24950,36210,48390,68600,91870,119660,0,0,0
Kyros Caves,26430,26430,36170,48290,68480,91800,119480,0,0,0
Borru Catacombs,27750,27750,39160,53310,73520,97360,0,0,0,0
Donholk Glacier,27770,27770,39200,53360,73580,97440,0,0,0,0
Nerion's Castle,30580,30580,42140,57650,78490,103940,0,0,0,0

